Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2020-11-20,13.047195434570312,13.452684764910122,13.024515078130138,13.412310574058976,341088000
2020-11-23,13.09928035736084,13.341028219522052,12.975165900762292,13.130433515692037,361356000
2020-11-24,12.917597770690918,13.121214239336203,12.845073111917616,13.101774885108085,346500000
2020-11-25,13.193737030029297,13.228379329098729,12.979653173979193,12.992114247965226,259916000
2020-11-27,13.220154762268066,13.365952276272498,13.129686242574325,13.333552723080512,167276000
2020-11-30,13.359969139099121,13.370935681900644,12.932049600173414,13.223892739343428,286952000
2020-12-01,13.348506927490234,13.486827040045208,13.1872573732238,13.450440170378451,296948000
2020-12-02,13.502530097961426,13.631130077502323,13.19324118615636,13.3091310010847,283360000
2020-12-03,13.358429908752441,13.621689441798047,13.291618377835375,13.549392544776138,199520000
2020-12-04,13.520227432250977,13.521972516912324,13.35120243105214,13.410784471489588,202244000
2020-12-07,13.56859302520752,13.692744171965034,13.462142841272858,13.563108608262407,223244000
2020-12-08,13.312562942504883,13.56061510598697,13.24425451987971,13.546903589065858,271920000
2020-12-09,12.894488334655762,13.37638282728768,12.832163602712681,13.263201471655023,401300000
2020-12-10,12.935872077941895,13.032101859901006,12.813466022626018,12.83291206940528,207764000
2020-12-11,12.976755142211914,12.983486318583273,12.787038296114813,12.930883668310736,209264000
2020-12-14,13.271428108215332,13.351203686233916,13.040826798286616,13.051297307239059,270156000
2020-12-15,13.323033332824707,13.426242500782983,13.149770658003526,13.40206047490147,193016000
2020-12-16,13.205362319946289,13.399565985120317,13.175445768851608,13.384856871515465,223116000
2020-12-17,13.30383586883545,13.341978569105423,13.141542045726027,13.329263701682226,231384000
2020-12-18,13.23477840423584,13.367404821678791,13.03384358071163,13.341477716998257,342064000
2020-12-21,13.294864654541016,13.332509043149397,12.931137542013989,13.038087015106612,302332000
2020-12-22,13.241012573242188,13.299847130440972,13.017391613694233,13.281897959126036,185580000
2020-12-23,12.97276782989502,13.237772518322112,12.968530174223998,13.218825746792993,179144000
2020-12-24,12.957310676574707,13.095671649944181,12.902465562166906,13.000688634360822,97884000
2020-12-28,12.863823890686035,13.025868569074484,12.727458111823653,13.025868569074484,212564000
2020-12-29,12.906953811645508,13.035841889453641,12.806237206576865,12.888755475813793,170372000
2020-12-30,13.108885765075684,13.176694914698261,12.860584432443018,12.953821418799093,225396000
